他跑得比誰都快	ㄊㄚ ㄆㄠˇ ㄉㄜ˙ ㄅㄧˇ ㄕㄟˊ ㄉㄡ ㄎㄨㄞˋ
你得早一點出門才行	ㄋㄧˇ ㄉㄟˇ ㄗㄠˇ ㄧˋ ㄉㄧㄢˇ ㄔㄨ ㄇㄣˊ ㄘㄞˊ ㄒㄧㄥˊ
這是我應得的報酬	ㄓㄜˋ ㄕˋ ㄨㄛˇ ㄧㄥ ㄉㄜˊ ㄉㄜ˙ ㄅㄠˋ ㄔㄡˊ
警察正在調查這起案件	ㄐㄧㄥˇ ㄔㄚˊ ㄓㄥˋ ㄗㄞˋ ㄉㄧㄠˋ ㄔㄚˊ ㄓㄜˋ ㄑㄧˇ ㄢˋ ㄐㄧㄢˋ
請你調整一下音量	ㄑㄧㄥˇ ㄋㄧˇ ㄊㄧㄠˊ ㄓㄥˇ ㄧˊ ㄒㄧㄚˋ ㄧㄣ ㄌㄧㄤˋ
他們在公園裡散步聊天	ㄊㄚ ㄇㄣ˙ ㄗㄞˋ ㄍㄨㄥ ㄩㄢˊ ㄌㄧˇ ㄙㄢˋ ㄅㄨˋ ㄌㄧㄠˊ ㄊㄧㄢ
桌上散落著許多紙張	ㄓㄨㄛ ㄕㄤˋ ㄙㄢˋ ㄌㄨㄛˋ ㄓㄜ˙ ㄒㄩˇ ㄉㄨㄛ ㄓˇ ㄓㄤ
天氣漸漸轉涼了	ㄊㄧㄢ ㄑㄧˋ ㄐㄧㄢˋ ㄐㄧㄢˋ ㄓㄨㄢˇ ㄌㄧㄤˊ ㄌㄜ˙
他默默把房門關上	ㄊㄚ ㄇㄛˋ ㄇㄛˋ ㄅㄚˇ ㄈㄤˊ ㄇㄣˊ ㄍㄨㄢ ㄕㄤˋ
這部電影真的很好看	ㄓㄜˋ ㄅㄨˋ ㄉㄧㄢˋ ㄧㄥˇ ㄓㄣ ㄉㄜ˙ ㄏㄣˇ ㄏㄠˇ ㄎㄢˋ
老師正在批改我們的作業	ㄌㄠˇ ㄕ ㄓㄥˋ ㄗㄞˋ ㄆㄧ ㄍㄞˇ ㄨㄛˇ ㄇㄣ˙ ㄉㄜ˙ ㄗㄨㄛˋ ㄧㄝˋ
他的個性一向很直率	ㄊㄚ ㄉㄜ˙ ㄍㄜˋ ㄒㄧㄥˋ ㄧˊ ㄒㄧㄤˋ ㄏㄣˇ ㄓˊ ㄕㄨㄞˋ
我想去圖書館借一本書	ㄨㄛˇ ㄒㄧㄤˇ ㄑㄩˋ ㄊㄨˊ ㄕㄨ ㄍㄨㄢˇ ㄐㄧㄝˋ ㄧˋ ㄅㄣˇ ㄕㄨ
他在大學裡教書多年	ㄊㄚ ㄗㄞˋ ㄉㄚˋ ㄒㄩㄝˊ ㄌㄧˇ ㄐㄧㄠ ㄕㄨ ㄉㄨㄛ ㄋㄧㄢˊ
這件事情其實很複雜	ㄓㄜˋ ㄐㄧㄢˋ ㄕˋ ㄑㄧㄥˊ ㄑㄧˊ ㄕˊ ㄏㄣˇ ㄈㄨˋ ㄗㄚˊ
他的表現令人非常滿意	ㄊㄚ ㄉㄜ˙ ㄅㄧㄠˇ ㄒㄧㄢˋ ㄌㄧㄥˋ ㄖㄣˊ ㄈㄟ ㄔㄤˊ ㄇㄢˇ ㄧˋ
妹妹的頭髮又黑又長	ㄇㄟˋ ㄇㄟ˙ ㄉㄜ˙ ㄊㄡˊ ㄈㄚˇ ㄧㄡˋ ㄏㄟ ㄧㄡˋ ㄔㄤˊ
請大家保持安靜	ㄑㄧㄥˇ ㄉㄚˋ ㄐㄧㄚ ㄅㄠˇ ㄔˊ ㄢ ㄐㄧㄥˋ
我想買收音機	ㄨㄛˇ ㄒㄧㄤˇ ㄇㄞˇ ㄕㄡ ㄧㄣ ㄐㄧ
